,start_exp_2.keys,start_exp_2.rt,start_exp_3.keys,start_exp_3.rt,intel_resp.keys,intel_resp.rt,textbox_word.text,key_resp.keys,key_resp.rt,valence_resp.keys,valence_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,file,eng_name,heb_name,category,rms,intelligibility,syllables,category_key,frequency,log_freq,google_freq,log_google_freq,participant,age,gender,correct_guess
27,,NA,,NA,7,1.2536,"<U+05D7><U+05D2><U+05D5><U+05E8><U+05D4>
",return,1.05,4,2.2206,0,26,26,54,1,khagora.ogg,khagora,<U+05D7><U+05D2><U+05D5><U+05E8><U+05D4>,Object,0.091309622,NA,3,l,411,2.613841822,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
28,,NA,,NA,7,1.2579,"<U+05E9><U+05E2><U+05E8>
",return,0.9756,4,1.4177,0,27,27,132,1,shaar.ogg,shaar,<U+05E9><U+05E2><U+05E8>,Object,0.120827317,NA,2,l,18280,4.261976191,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
29,,NA,,NA,6,1.3729,"<U+05D6><U+05D9><U+05E7><U+05D9><U+05EA>
",return,2.0438,4,0.9046,0,28,28,179,1,zikit.ogg,zikit,<U+05D6><U+05D9><U+05E7><U+05D9><U+05EA>,Animal,0.050165605,NA,2,a,196,2.292256071,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
30,,NA,,NA,7,1.1711,"<U+05D7><U+05D1><U+05DC>
",return,0.7444,4,1.1669,0,29,29,63,1,khevel.ogg,khevel,<U+05D7><U+05D1><U+05DC>,Object,0.089048877,NA,2,l,8454,3.927062243,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
31,,NA,,NA,7,0.9539,"<U+05EA><U+05E0><U+05D9><U+05DF>
",return,1.3078,4,1.2814,0,30,30,151,1,tanin.ogg,tanin,<U+05EA><U+05E0><U+05D9><U+05DF>,Animal,0.11310944,NA,2,a,1005,3.002166062,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
32,,NA,,NA,6,1.7017,"<U+05EA><U+05D9><U+05E9>
",return,1.1158,4,1.6533,0,31,31,152,1,tayish.ogg,tayish,<U+05EA><U+05D9><U+05E9>,Animal,0.128700748,NA,2,a,103,2.012837225,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
33,,NA,,NA,6,1.7385,"<U+05D0><U+05E4><U+05E8><U+05D5><U+05D7>
",return,1.1941,4,1.1237,0,32,32,30,1,efroakh.ogg,efroakh,<U+05D0><U+05E4><U+05E8><U+05D5><U+05D7>,Animal,0.116828218,NA,3,a,54,1.73239376,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
34,,NA,,NA,7,1.5566,"<U+05D7><U+05D9><U+05E4><U+05D5><U+05E9><U+05D9><U+05EA>
",return,1.4448,4,1.1085,0,33,33,65,1,khipushit.ogg,khipushit,<U+05D7><U+05D9><U+05E4><U+05D5><U+05E9><U+05D9><U+05EA>,Animal,0.081689842,NA,3,a,257,2.409933123,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
35,,NA,,NA,7,1.233,"<U+05D9><U+05E2><U+05DC>
",return,0.8607,4,0.4014,0,34,34,169,1,yael.ogg,yael,<U+05D9><U+05E2><U+05DC>,Animal,0.118427262,NA,2,a,4726,3.674493717,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
36,,NA,,NA,7,1.153,"<U+05D1><U+05D5><U+05D1><U+05D4>
",return,1.4557,5,1.4715,0,35,35,22,1,buba.ogg,buba,<U+05D1><U+05D5><U+05D1><U+05D4>,Object,0.085309803,NA,2,l,942,2.974050903,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
37,,NA,,NA,7,1.2501,"<U+05E7><U+05E8><U+05E0><U+05E3>
",return,1.1744,3,1.0857,0,36,36,46,1,karnaf.ogg,karnaf,<U+05E7><U+05E8><U+05E0><U+05E3>,Animal,0.147574842,NA,2,a,312,2.494154594,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
38,,NA,,NA,2,4.4709,"<U+05D7><U+05D5><U+05D2><U+05DC><U+05D4>
",return,2.3773,4,0.8396,0,37,37,67,1,khugla.ogg,khugla,<U+05D7><U+05D5><U+05D2><U+05DC><U+05D4>,Animal,0.093599491,NA,2,a,59,1.770852012,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
39,,NA,,NA,7,1.1014,"<U+05D1><U+05E8><U+05D1><U+05D5><U+05E8>
",return,1.1906,5,1.3682,0,38,38,17,1,barbur.ogg,barbur,<U+05D1><U+05E8><U+05D1><U+05D5><U+05E8>,Animal,0.092549652,NA,2,a,329,2.517195898,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
40,,NA,,NA,5,3.0221,"<U+05DE><U+05D8><U+05E2><U+05DF>
",return,1.5095,4,1.2879,0,39,39,106,1,mitan.ogg,mitan,<U+05DE><U+05D8><U+05E2><U+05DF>,Object,0.092752762,NA,2,l,3876,3.588383768,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
41,,NA,,NA,7,2.4928,"<U+05EA><U+05D9><U+05E7><U+05DF>
",return,1.7119,2,1.2426,0,40,40,155,1,tikan.ogg,tikan,<U+05EA><U+05D9><U+05E7><U+05DF>,Animal,0.091878034,NA,2,a,661,2.820201459,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
