id,age,baselines,rqcorrect,rq,demand_intensity,demand_liking,stim,ValenceContrast,NeutralContrast,target,targetdummy,controldummy,reaction,intensity,liking,dist
3,33,2,0,5,0,0,28,-0.5,-0.333333333,-0.5,0,1,3,1,2,2
3,33,2,0,5,0,0,29,-0.5,-0.333333333,-0.5,0,1,1,1,2,2
3,33,2,0,5,0,0,30,-0.5,-0.333333333,-0.5,0,1,1,2,5,1
4,24,1,0,1,-2,2,1,0,0.666666667,-0.5,0,1,5,5,9,9
4,24,1,0,1,-2,2,2,0,0.666666667,-0.5,0,1,4,6,7,9
4,24,1,0,1,-2,2,3,0,0.666666667,-0.5,0,1,4,6,1,4
4,24,1,0,1,-2,2,4,0,0.666666667,-0.5,0,1,4,8,2,2
4,24,1,0,1,-2,2,5,0,0.666666667,-0.5,0,1,7,5,4,3
4,24,1,0,1,-2,2,6,0,0.666666667,0.5,1,0,9,9,9,9
4,24,1,0,1,-2,2,7,0,0.666666667,-0.5,0,1,6,5,4,3
4,24,1,0,1,-2,2,8,0,0.666666667,-0.5,0,1,6,6,6,4
4,24,1,0,1,-2,2,9,0,0.666666667,-0.5,0,1,6,2,7,5
4,24,1,0,1,-2,2,10,0,0.666666667,-0.5,0,1,6,8,6,5
4,24,1,0,1,-2,2,11,0.5,-0.333333333,-0.5,0,1,7,5,7,7
4,24,1,0,1,-2,2,12,0.5,-0.333333333,-0.5,0,1,5,6,6,8
4,24,1,0,1,-2,2,13,0.5,-0.333333333,-0.5,0,1,5,5,7,8
4,24,1,0,1,-2,2,14,0.5,-0.333333333,-0.5,0,1,6,5,6,8
4,24,1,0,1,-2,2,15,0.5,-0.333333333,-0.5,0,1,6,5,9,7
4,24,1,0,1,-2,2,16,0.5,-0.333333333,0.5,1,0,9,9,8,9
4,24,1,0,1,-2,2,17,0.5,-0.333333333,-0.5,0,1,6,5,8,6
4,24,1,0,1,-2,2,18,0.5,-0.333333333,-0.5,0,1,8,5,7,5
4,24,1,0,1,-2,2,19,0.5,-0.333333333,-0.5,0,1,6,3,6,5
4,24,1,0,1,-2,2,20,0.5,-0.333333333,-0.5,0,1,6,6,5,6
4,24,1,0,1,-2,2,21,-0.5,-0.333333333,-0.5,0,1,7,5,7,8
4,24,1,0,1,-2,2,22,-0.5,-0.333333333,-0.5,0,1,6,7,9,6
4,24,1,0,1,-2,2,23,-0.5,-0.333333333,-0.5,0,1,3,6,9,6
4,24,1,0,1,-2,2,24,-0.5,-0.333333333,-0.5,0,1,6,6,3,5
4,24,1,0,1,-2,2,25,-0.5,-0.333333333,-0.5,0,1,4,7,8,6
4,24,1,0,1,-2,2,26,-0.5,-0.333333333,0.5,1,0,9,2,4,8
4,24,1,0,1,-2,2,27,-0.5,-0.333333333,-0.5,0,1,6,9,8,5
4,24,1,0,1,-2,2,28,-0.5,-0.333333333,-0.5,0,1,4,5,8,4
4,24,1,0,1,-2,2,29,-0.5,-0.333333333,-0.5,0,1,7,8,4,6
4,24,1,0,1,-2,2,30,-0.5,-0.333333333,-0.5,0,1,8,6,2,6
5,19,2,0,6,2,-2,1,0,0.666666667,-0.5,0,1,0,0,0,0
5,19,2,0,6,2,-2,2,0,0.666666667,-0.5,0,1,3,3,0,5
5,19,2,0,6,2,-2,3,0,0.666666667,-0.5,0,1,2,2,0,4
5,19,2,0,6,2,-2,4,0,0.666666667,-0.5,0,1,0,0,0,0
5,19,2,0,6,2,-2,5,0,0.666666667,-0.5,0,1,3,4,0,5
5,19,2,0,6,2,-2,6,0,0.666666667,-0.5,0,1,0,0,0,0
5,19,2,0,6,2,-2,7,0,0.666666667,0.5,1,0,9,0,0,9
5,19,2,0,6,2,-2,8,0,0.666666667,-0.5,0,1,5,5,0,8
5,19,2,0,6,2,-2,9,0,0.666666667,-0.5,0,1,4,4,0,5
5,19,2,0,6,2,-2,10,0,0.666666667,-0.5,0,1,4,1,0,0
5,19,2,0,6,2,-2,11,0.5,-0.333333333,-0.5,0,1,9,9,9,9
5,19,2,0,6,2,-2,12,0.5,-0.333333333,-0.5,0,1,7,6,6,2
5,19,2,0,6,2,-2,13,0.5,-0.333333333,-0.5,0,1,5,4,5,5
5,19,2,0,6,2,-2,14,0.5,-0.333333333,-0.5,0,1,2,1,1,1
5,19,2,0,6,2,-2,15,0.5,-0.333333333,0.5,1,0,9,9,1,9
5,19,2,0,6,2,-2,16,0.5,-0.333333333,-0.5,0,1,3,1,1,1
5,19,2,0,6,2,-2,17,0.5,-0.333333333,-0.5,0,1,2,1,2,1
5,19,2,0,6,2,-2,18,0.5,-0.333333333,-0.5,0,1,6,6,1,9
5,19,2,0,6,2,-2,19,0.5,-0.333333333,-0.5,0,1,7,9,9,7
5,19,2,0,6,2,-2,20,0.5,-0.333333333,-0.5,0,1,1,1,9,3
5,19,2,0,6,2,-2,21,-0.5,-0.333333333,-0.5,0,1,8,9,0,4
5,19,2,0,6,2,-2,22,-0.5,-0.333333333,-0.5,0,1,9,9,0,9
5,19,2,0,6,2,-2,23,-0.5,-0.333333333,-0.5,0,1,7,9,0,7
5,19,2,0,6,2,-2,24,-0.5,-0.333333333,0.5,1,0,9,9,0,9
5,19,2,0,6,2,-2,25,-0.5,-0.333333333,-0.5,0,1,5,7,0,4
5,19,2,0,6,2,-2,26,-0.5,-0.333333333,-0.5,0,1,5,7,0,9
5,19,2,0,6,2,-2,27,-0.5,-0.333333333,-0.5,0,1,7,9,0,3
5,19,2,0,6,2,-2,28,-0.5,-0.333333333,-0.5,0,1,3,3,0,3
5,19,2,0,6,2,-2,29,-0.5,-0.333333333,-0.5,0,1,3,6,0,4
5,19,2,0,6,2,-2,30,-0.5,-0.333333333,-0.5,0,1,1,9,0,1
6,20,1,0,2,1,-1,1,0,0.666666667,-0.5,0,1,1,1,1,1
6,20,1,0,2,1,-1,2,0,0.666666667,-0.5,0,1,1,1,2,1
6,20,1,0,2,1,-1,3,0,0.666666667,-0.5,0,1,1,2,2,1
6,20,1,0,2,1,-1,4,0,0.666666667,-0.5,0,1,2,2,1,1
6,20,1,0,2,1,-1,5,0,0.666666667,-0.5,0,1,1,1,2,1
6,20,1,0,2,1,-1,6,0,0.666666667,-0.5,0,1,1,1,1,1
6,20,1,0,2,1,-1,7,0,0.666666667,-0.5,0,1,1,1,1,1
6,20,1,0,2,1,-1,8,0,0.666666667,0.5,1,0,3,1,1,1
6,20,1,0,2,1,-1,9,0,0.666666667,-0.5,0,1,1,1,1,1
6,20,1,0,2,1,-1,10,0,0.666666667,-0.5,0,1,2,1,1,1
6,20,1,0,2,1,-1,11,0.5,-0.333333333,-0.5,0,1,2,2,1,1
6,20,1,0,2,1,-1,12,0.5,-0.333333333,-0.5,0,1,3,1,1,1
6,20,1,0,2,1,-1,13,0.5,-0.333333333,-0.5,0,1,2,2,1,1
6,20,1,0,2,1,-1,14,0.5,-0.333333333,-0.5,0,1,1,2,1,1
6,20,1,0,2,1,-1,15,0.5,-0.333333333,-0.5,0,1,1,1,1,1
6,20,1,0,2,1,-1,16,0.5,-0.333333333,-0.5,0,1,2,2,1,1
6,20,1,0,2,1,-1,17,0.5,-0.333333333,-0.5,0,1,2,1,1,1
6,20,1,0,2,1,-1,18,0.5,-0.333333333,-0.5,0,1,1,2,1,1
6,20,1,0,2,1,-1,19,0.5,-0.333333333,-0.5,0,1,1,1,1,1
6,20,1,0,2,1,-1,20,0.5,-0.333333333,0.5,1,0,2,1,1,1
6,20,1,0,2,1,-1,21,-0.5,-0.333333333,-0.5,0,1,2,2,2,2
6,20,1,0,2,1,-1,22,-0.5,-0.333333333,-0.5,0,1,2,2,2,2
6,20,1,0,2,1,-1,23,-0.5,-0.333333333,-0.5,0,1,2,2,2,2
6,20,1,0,2,1,-1,24,-0.5,-0.333333333,-0.5,0,1,2,2,2,2
6,20,1,0,2,1,-1,25,-0.5,-0.333333333,-0.5,0,1,2,2,2,2
6,20,1,0,2,1,-1,26,-0.5,-0.333333333,-0.5,0,1,2,2,2,2
6,20,1,0,2,1,-1,27,-0.5,-0.333333333,0.5,1,0,2,2,2,2
6,20,1,0,2,1,-1,28,-0.5,-0.333333333,-0.5,0,1,2,2,2,2
6,20,1,0,2,1,-1,29,-0.5,-0.333333333,-0.5,0,1,2,2,2,2
6,20,1,0,2,1,-1,30,-0.5,-0.333333333,-0.5,0,1,2,2,2,2
7,25,1,1,7,0,-1,1,0,0.666666667,-0.5,0,1,5,4,4,4
7,25,1,1,7,0,-1,2,0,0.666666667,-0.5,0,1,4,7,4,3
7,25,1,1,7,0,-1,3,0,0.666666667,-0.5,0,1,6,4,3,6
7,25,1,1,7,0,-1,4,0,0.666666667,0.5,1,0,7,4,3,6
7,25,1,1,7,0,-1,5,0,0.666666667,-0.5,0,1,3,5,4,3
7,25,1,1,7,0,-1,6,0,0.666666667,-0.5,0,1,7,3,4,6
7,25,1,1,7,0,-1,7,0,0.666666667,-0.5,0,1,4,6,5,4
7,25,1,1,7,0,-1,8,0,0.666666667,-0.5,0,1,6,5,5,6
7,25,1,1,7,0,-1,9,0,0.666666667,-0.5,0,1,5,6,4,4
7,25,1,1,7,0,-1,10,0,0.666666667,-0.5,0,1,4,8,3,6
7,25,1,1,7,0,-1,11,0.5,-0.333333333,-0.5,0,1,3,3,3,3
7,25,1,1,7,0,-1,12,0.5,-0.333333333,-0.5,0,1,3,3,3,3
7,25,1,1,7,0,-1,13,0.5,-0.333333333,-0.5,0,1,4,3,3,2
7,25,1,1,7,0,-1,14,0.5,-0.333333333,-0.5,0,1,3,3,3,3
7,25,1,1,7,0,-1,15,0.5,-0.333333333,-0.5,0,1,3,3,3,3
7,25,1,1,7,0,-1,16,0.5,-0.333333333,-0.5,0,1,3,2,3,2
7,25,1,1,7,0,-1,17,0.5,-0.333333333,0.5,1,0,3,3,4,3
7,25,1,1,7,0,-1,18,0.5,-0.333333333,-0.5,0,1,3,3,3,3
7,25,1,1,7,0,-1,19,0.5,-0.333333333,-0.5,0,1,4,3,3,2
7,25,1,1,7,0,-1,20,0.5,-0.333333333,-0.5,0,1,4,3,3,3
7,25,1,1,7,0,-1,21,-0.5,-0.333333333,-0.5,0,1,3,3,3,2
7,25,1,1,7,0,-1,22,-0.5,-0.333333333,-0.5,0,1,2,3,2,3
7,25,1,1,7,0,-1,23,-0.5,-0.333333333,-0.5,0,1,4,3,3,1
7,25,1,1,7,0,-1,24,-0.5,-0.333333333,-0.5,0,1,3,2,3,2
7,25,1,1,7,0,-1,25,-0.5,-0.333333333,0.5,1,0,4,3,3,3
7,25,1,1,7,0,-1,26,-0.5,-0.333333333,-0.5,0,1,3,3,3,2
7,25,1,1,7,0,-1,27,-0.5,-0.333333333,-0.5,0,1,3,3,2,2
7,25,1,1,7,0,-1,28,-0.5,-0.333333333,-0.5,0,1,3,2,4,2
7,25,1,1,7,0,-1,29,-0.5,-0.333333333,-0.5,0,1,3,2,3,3
7,25,1,1,7,0,-1,30,-0.5,-0.333333333,-0.5,0,1,2,2,4,2
8,31,1,0,8,0,0,1,0,0.666666667,-0.5,0,1,1,1,1,2
8,31,1,0,8,0,0,2,0,0.666666667,0.5,1,0,8,1,1,8
8,31,1,0,8,0,0,3,0,0.666666667,-0.5,0,1,1,1,1,1
8,31,1,0,8,0,0,4,0,0.666666667,-0.5,0,1,1,1,1,2
8,31,1,0,8,0,0,5,0,0.666666667,-0.5,0,1,1,1,1,1
8,31,1,0,8,0,0,6,0,0.666666667,-0.5,0,1,1,1,1,1
8,31,1,0,8,0,0,7,0,0.666666667,-0.5,0,1,1,1,1,2
8,31,1,0,8,0,0,8,0,0.666666667,-0.5,0,1,2,1,2,3
8,31,1,0,8,0,0,9,0,0.666666667,-0.5,0,1,1,1,1,1
8,31,1,0,8,0,0,10,0,0.666666667,-0.5,0,1,1,1,1,1
8,31,1,0,8,0,0,11,0.5,-0.333333333,-0.5,0,1,2,2,1,1
8,31,1,0,8,0,0,12,0.5,-0.333333333,-0.5,0,1,1,1,1,1
8,31,1,0,8,0,0,13,0.5,-0.333333333,-0.5,0,1,1,2,1,1
8,31,1,0,8,0,0,14,0.5,-0.333333333,0.5,1,0,2,2,2,2
8,31,1,0,8,0,0,15,0.5,-0.333333333,-0.5,0,1,8,3,9,8
8,31,1,0,8,0,0,16,0.5,-0.333333333,-0.5,0,1,1,2,1,1
8,31,1,0,8,0,0,17,0.5,-0.333333333,-0.5,0,1,3,3,6,1
8,31,1,0,8,0,0,18,0.5,-0.333333333,-0.5,0,1,3,3,8,8
8,31,1,0,8,0,0,19,0.5,-0.333333333,-0.5,0,1,1,3,1,2
8,31,1,0,8,0,0,20,0.5,-0.333333333,-0.5,0,1,3,3,8,8
8,31,1,0,8,0,0,21,-0.5,-0.333333333,-0.5,0,1,1,1,1,1
8,31,1,0,8,0,0,22,-0.5,-0.333333333,-0.5,0,1,1,2,1,1
8,31,1,0,8,0,0,23,-0.5,-0.333333333,-0.5,0,1,1,2,1,3
8,31,1,0,8,0,0,24,-0.5,-0.333333333,0.5,1,0,1,3,1,4
8,31,1,0,8,0,0,25,-0.5,-0.333333333,-0.5,0,1,1,1,1,1
8,31,1,0,8,0,0,26,-0.5,-0.333333333,-0.5,0,1,8,8,1,6
8,31,1,0,8,0,0,27,-0.5,-0.333333333,-0.5,0,1,3,8,1,4
8,31,1,0,8,0,0,28,-0.5,-0.333333333,-0.5,0,1,2,1,1,2
8,31,1,0,8,0,0,29,-0.5,-0.333333333,-0.5,0,1,1,1,1,1
8,31,1,0,8,0,0,30,-0.5,-0.333333333,-0.5,0,1,2,3,1,2
9,33,1,0,1,0,0,1,0,0.666666667,-0.5,0,1,1,1,2,1
9,33,1,0,1,0,0,2,0,0.666666667,-0.5,0,1,1,1,1,1
9,33,1,0,1,0,0,3,0,0.666666667,-0.5,0,1,1,1,1,1
9,33,1,0,1,0,0,4,0,0.666666667,-0.5,0,1,2,2,1,1
9,33,1,0,1,0,0,5,0,0.666666667,-0.5,0,1,1,1,1,1
9,33,1,0,1,0,0,6,0,0.666666667,-0.5,0,1,1,1,2,1
9,33,1,0,1,0,0,7,0,0.666666667,-0.5,0,1,1,1,2,1
9,33,1,0,1,0,0,8,0,0.666666667,-0.5,0,1,1,1,1,1
9,33,1,0,1,0,0,9,0,0.666666667,-0.5,0,1,1,1,1,1
9,33,1,0,1,0,0,10,0,0.666666667,0.5,1,0,1,1,1,1
9,33,1,0,1,0,0,11,0.5,-0.333333333,-0.5,0,1,1,1,1,4
9,33,1,0,1,0,0,12,0.5,-0.333333333,-0.5,0,1,3,6,4,4
9,33,1,0,1,0,0,13,0.5,-0.333333333,0.5,1,0,7,3,6,4
9,33,1,0,1,0,0,14,0.5,-0.333333333,-0.5,0,1,1,1,0,4
9,33,1,0,1,0,0,15,0.5,-0.333333333,-0.5,0,1,5,1,5,4
9,33,1,0,1,0,0,16,0.5,-0.333333333,-0.5,0,1,1,1,2,2
9,33,1,0,1,0,0,17,0.5,-0.333333333,-0.5,0,1,1,1,0,2
9,33,1,0,1,0,0,18,0.5,-0.333333333,-0.5,0,1,1,1,6,4
9,33,1,0,1,0,0,19,0.5,-0.333333333,-0.5,0,1,6,7,5,4
9,33,1,0,1,0,0,20,0.5,-0.333333333,-0.5,0,1,3,1,8,4
9,33,1,0,1,0,0,21,-0.5,-0.333333333,-0.5,0,1,4,6,1,4
9,33,1,0,1,0,0,22,-0.5,-0.333333333,-0.5,0,1,1,1,2,2
9,33,1,0,1,0,0,23,-0.5,-0.333333333,-0.5,0,1,4,4,1,5
9,33,1,0,1,0,0,24,-0.5,-0.333333333,-0.5,0,1,2,3,1,1
9,33,1,0,1,0,0,25,-0.5,-0.333333333,-0.5,0,1,6,7,5,8
9,33,1,0,1,0,0,26,-0.5,-0.333333333,-0.5,0,1,1,1,1,1
9,33,1,0,1,0,0,27,-0.5,-0.333333333,-0.5,0,1,8,8,1,6
9,33,1,0,1,0,0,28,-0.5,-0.333333333,-0.5,0,1,7,3,1,2
9,33,1,0,1,0,0,29,-0.5,-0.333333333,0.5,1,0,5,5,1,4
9,33,1,0,1,0,0,30,-0.5,-0.333333333,-0.5,0,1,3,2,1,1
10,30,2,0,3,-1,0,1,0,0.666666667,-0.5,0,1,0,0,0,0
10,30,2,0,3,-1,0,2,0,0.666666667,-0.5,0,1,0,0,0,1
