Participant_number,dominant_priority,rt,Priority_difference,chosen_pr,Chose_priority,Side,Previous_Side,Different?,New participant,stimulus_block
39,1560.242807,1385.4,3565.121114,1560.242807,1,Right,Left,yes,no,A-E
39,1129.688426,813.1999998,3455.103745,1129.688426,1,Left,Right,yes,no,A-E
39,1453.011627,754.8000002,3873.16991,-2420.158283,0,Right,Left,yes,no,A-E
39,1572.12696,1153.7,3836.395775,1572.12696,1,Left,Left,yes,no,A-E
39,1560.242807,1962,3980.40109,-2420.158283,0,Left,Left,no,no,A-E
39,1572.12696,1597.5,3849.64146,1572.12696,1,Left,Right,no,no,A-E
39,1129.688426,2030.9,3104.507392,1129.688426,1,Right,Left,yes,no,A-E
39,1924.715546,862.0999999,4479.336481,-2554.620935,0,Left,Left,yes,no,A-E
39,1255.024952,1602,4114.640851,1255.024952,1,Left,Right,no,no,A-E
39,1166.521266,1465.5,3389.907696,-2223.38643,0,Right,Right,yes,no,A-E
39,1941.175699,838.4000001,4059.528467,1941.175699,1,Right,Left,no,no,A-E
39,1255.024952,710.1000004,3678.988335,1255.024952,1,Left,Right,yes,no,A-E
39,1166.521266,1247.7,3147.712001,-1981.190735,0,Right,Left,yes,no,A-E
39,2002.718236,669,4328.133555,2002.718236,1,Left,Left,yes,no,A-E
39,1560.242807,1139.4,2865.068961,-1304.826154,0,Left,Left,no,no,A-D
39,1924.715546,714,3188.442972,1924.715546,1,Left,Left,no,no,A-D
39,1255.024952,2023.2,2559.694772,-1304.66982,0,Left,Left,no,no,A-D
39,1572.12696,2095.2,2918.124277,-1345.997317,0,Left,Right,no,no,A-D
39,1941.175699,2115.2,3240.081279,1941.175699,1,Right,Right,yes,no,A-D
39,1572.12696,627,2851.990584,-1279.863624,0,Right,Left,no,no,A-D
39,1129.688426,1219.2,2504.535218,-1374.846792,0,Left,Right,yes,no,A-D
39,1941.175699,1184.8,3380.553631,-1439.377932,0,Right,Left,yes,no,A-D
39,1255.024952,1002,2713.358341,1255.024952,1,Left,Left,yes,no,A-D
39,1560.242807,1230.5,2863.007748,-1302.764941,0,Left,Left,no,no,A-D
39,2002.718236,314.4000001,3377.767604,2002.718236,1,Left,Right,no,no,A-D
39,1166.521266,652.2999997,2514.700066,-1348.1788,0,Right,Left,yes,no,A-D
39,2002.718236,1386,3443.936467,2002.718236,1,Left,Left,yes,no,A-D
39,1166.521266,482.7999997,2581.067266,-1414.546,0,Left,Right,no,no,A-D
39,1453.011627,1434.2,2816.07363,1453.011627,1,Right,Left,yes,no,A-D
39,1453.011627,604.3000002,2852.22014,1453.011627,1,Left,Left,yes,no,A-D
39,1129.688426,1359,2459.052013,1129.688426,1,Left,Left,no,no,A-D
39,1453.011627,1354.7,3778.426946,-2325.415319,0,Left,Left,no,no,A-E
39,1129.688426,1516.1,3134.566733,1129.688426,1,Left,Left,no,no,A-E
39,1572.12696,1197.8,4016.092166,1572.12696,1,Left,Right,no,no,A-E
39,2002.718236,1842.5,3977.537202,2002.718236,1,Right,Left,yes,no,A-E
39,1255.024952,931.5999999,3236.215687,1255.024952,1,Left,Right,yes,no,A-E
39,1941.175699,623.0999999,4800.791598,1941.175699,1,Right,Right,yes,no,A-E
39,1453.011627,1053.5,3778.426946,1453.011627,1,Right,Left,no,no,A-E
39,2002.718236,1362.8,4426.681619,-2423.963383,0,Left,Right,yes,no,A-E
39,1560.242807,962.5999999,3837.757307,1560.242807,1,Right,Right,yes,no,A-E
39,1129.688426,868.5,3553.651809,1129.688426,1,Right,Right,no,no,A-E
39,1941.175699,684.1999998,4361.333982,1941.175699,1,Right,Left,no,no,A-E
39,1572.12696,1059.7,3847.261136,1572.12696,1,Left,Left,yes,no,A-E
39,1560.242807,1765.8,3783.629237,1560.242807,1,Left,Right,no,no,A-E
39,1924.715546,705.4000001,4344.873829,-2420.158283,0,Right,Left,yes,no,A-E
39,1166.521266,448.1999998,3284.874034,-2118.352768,0,Left,Left,yes,no,A-E
39,1255.024952,1061.8,3519.293767,1255.024952,1,Left,Left,no,no,A-E
39,1166.521266,2511,3721.142201,1166.521266,1,Left,Right,no,no,A-E
40,1941.175699,5001.6,1007.46999,1941.175699,1,Right,Right,yes,yes,A-B
40,1255.024952,7381.4,319.6358932,935.3890588,0,Right,Left,no,no,A-B
40,1941.175699,9648.8,1022.111959,919.06374,0,Left,Right,yes,no,A-B
40,1255.024952,11833.5,265.3888293,1255.024952,1,Right,Right,yes,no,A-B
40,1560.242807,3897.8,1331.633002,1560.242807,1,Right,Left,no,no,A-B
40,1453.011627,6230.4,1240.691153,1453.011627,1,Left,Right,yes,no,A-B
40,2002.718236,12400.4,1740.475344,262.242892,0,Right,Right,yes,no,A-B
40,1572.12696,11877.7,547.063318,1025.063642,0,Right,Left,no,no,A-B
40,1166.521266,11541.7,978.606603,1166.521266,1,Left,Right,yes,no,A-B
40,1166.521266,14438.9,912.3415897,1166.521266,1,Right,Right,yes,no,A-B
40,1129.688426,7920.6,132.9486571,996.7397689,0,Right,Left,no,no,A-B
40,1924.715546,12358.3,1001.847742,1924.715546,1,Left,Right,yes,no,A-B
40,1129.688426,12357,113.312143,1129.688426,1,Right,Right,yes,no,A-B
40,-1263.727426,13679.2,1180.23778,-1263.727426,1,Right,Right,no,no,D-E
40,-1348.1788,15952,1511.437099,-1348.1788,1,Right,Right,no,no,D-E
40,-1375.049368,17229.8,1045.108915,-1375.049368,1,Right,Right,no,no,D-E
40,-1298.90558,13664.5,1125.057803,-2423.963383,0,Right,Left,no,no,D-E
40,-1329.363587,12909,1090.794696,-2420.158283,0,Left,Right,yes,no,D-E
40,-1374.846792,11643.9,1179.774143,-2554.620935,0,Right,Left,yes,no,D-E
40,-1279.863624,3606.2,694.955342,-1974.818966,0,Left,Right,yes,no,D-E
40,1129.688426,5103.9,1524.230408,1129.688426,1,Right,Left,yes,no,A-C
40,1453.011627,5665,1790.325056,1453.011627,1,Left,Right,yes,no,A-C
40,1255.024952,6845.6,1664.632079,-409.607127,0,Right,Left,yes,no,A-C
40,1453.011627,9695.2,1844.195638,1453.011627,1,Left,Right,yes,no,A-C
40,1572.12696,16454.2,1925.45137,-353.32441,0,Right,Left,yes,no,A-C
40,1941.175699,12826.2,2296.669523,-355.493824,0,Left,Left,yes,no,A-C
40,2002.718236,10827.5,2358.494078,2002.718236,1,Left,Right,no,no,A-C
