trial_type,trial_index,time_elapsed,rt,stimulus,stimulus_block,stimulus_side,key_press,second_stimulus,two_side,time_post_trial,subject,is_fullscreen,trial_began,os,browser,screen_size,block,sub_block,tags1,tags2
bRMS,78,1735039,740,images/f42887_e_058 copy.png,A-C,1,68,images/f42887_e_238 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['C']
bRMS,79,1736142,641.2,images/f42887_e_156 copy.png,A-C,1,68,images/f42887_e_273 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['C']
bRMS,80,1737214,603.5,images/f42887_e_064 copy.png,A-C,1,75,images/f42887_e_134 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['C']
bRMS,81,1738318,635.2,images/f42887_e_025 copy.png,A-C,1,68,images/f42887_e_201 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['C']
bRMS,82,1739372,592.4,images/f42887_e_252 copy.png,A-C,1,68,images/f42887_e_179 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['C']
bRMS,83,1740318,470.8,images/f42887_e_064 copy.png,A-C,0,68,images/f42887_e_024 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['C']
bRMS,84,1741727,950.9,images/f42887_e_121 copy.png,A-C,0,68,images/f42887_e_291 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['C']
bRMS,85,1742942,752.8,images/f42887_e_291 copy.png,C-E,1,68,images/f42887_e_290 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['C'],['E']
bRMS,86,1744203,798.1,images/f42887_e_067 copy.png,C-E,1,75,images/f42887_e_145 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['C'],['E']
bRMS,87,1745437,768,images/f42887_e_179 copy.png,C-E,1,68,images/f42887_e_169 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['C'],['E']
bRMS,88,1746477,577.7,images/f42887_e_238 copy.png,C-E,1,68,images/f42887_e_209 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['C'],['E']
bRMS,89,1747839,891.2,images/f42887_e_201 copy.png,C-E,1,68,images/f42887_e_215 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['C'],['E']
bRMS,90,1749038,741.5,images/f42887_e_273 copy.png,C-E,0,75,images/f42887_e_209 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['C'],['E']
bRMS,91,1750671,1168.2,images/f42887_e_210 copy.png,C-E,1,75,images/f42887_e_213 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['C'],['E']
bRMS,92,1752285,1142.6,images/f42887_e_024 copy.png,C-E,1,68,images/f42887_e_146 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['C'],['E']
bRMS,93,1753309,564.3,images/f42887_e_176 copy.png,C-E,1,68,images/f42887_e_000 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['C'],['E']
bRMS,94,1754348,581.3,images/f42887_e_068 copy.png,C-E,1,68,images/f42887_e_146 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['C'],['E']
bRMS,95,1755373,555.5,images/f42887_e_197 copy.png,C-E,0,75,images/f42887_e_085 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['C'],['E']
bRMS,96,1756767,934.3,images/f42887_e_265 copy.png,C-E,0,68,images/f42887_e_099 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['C'],['E']
bRMS,97,1758014,779.9,images/f42887_e_266 copy.png,C-E,1,68,images/f42887_e_051 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['C'],['E']
bRMS,98,1759118,638.9,images/f42887_e_240 copy.png,C-E,0,68,images/f42887_e_167 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['C'],['E']
bRMS,99,1760527,941.7,images/f42887_e_134 copy.png,C-E,1,75,images/f42887_e_044 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['C'],['E']
bRMS,100,1761726,731.1,images/f42887_e_212 copy.png,C-E,0,75,images/f42887_e_051 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['C'],['E']
bRMS,101,1763085,889.2,images/f42887_e_021 copy.png,C-E,1,75,images/f42887_e_040 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['C'],['E']
bRMS,102,1764284,728,images/f42887_e_235 copy.png,B-E,1,68,images/f42887_e_099 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['B'],['E']
bRMS,103,1765323,574.6,images/f42887_e_054 copy.png,B-E,1,68,images/f42887_e_213 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['B'],['E']
