Participant_number,dominant_priority,rt,Priority_difference,chosen_pr,Chose_priority,Side,Previous_Side,Different?,New participant,stimulus_block
2,1166.521266,519.2,3444.035766,-2277.5145,0,Left,Right,yes,no,A-E
2,1560.242807,360.5,3535.061773,1560.242807,1,Right,Left,yes,no,A-E
2,2002.718236,404.4000001,4422.876519,2002.718236,1,Left,Left,yes,no,A-E
2,1453.011627,405.2,3876.97501,1453.011627,1,Left,Right,no,no,A-E
2,1453.011627,269.3,4007.632562,1453.011627,1,Right,Left,yes,no,A-E
2,1924.715546,463,4348.678929,-2423.963383,0,Left,Right,yes,no,A-E
2,1129.688426,493.3,3353.074856,-2223.38643,0,Right,Left,yes,no,A-E
2,1941.175699,374.3,4266.591018,1941.175699,1,Left,Right,yes,no,A-E
2,1560.242807,280.7,4419.858706,-2859.615899,0,Right,Left,yes,no,A-E
2,1255.024952,337.3999999,3675.183235,-2420.158283,0,Left,Right,yes,no,A-E
3,1166.521266,1347.6,919.1994229,1166.521266,1,Right,Left,yes,yes,A-B
3,1941.175699,1460.5,1712.565894,1941.175699,1,Left,Left,yes,no,A-B
3,1255.024952,658.2,1039.60603,215.418922,0,Left,Right,no,no,A-B
3,1941.175699,849,1686.996023,254.179676,0,Right,Right,yes,no,A-B
3,1129.688426,669.5,195.9827165,933.7057095,0,Right,Right,no,no,A-B
3,2002.718236,871,1005.978467,2002.718236,1,Right,Left,no,no,A-B
3,1572.12696,3258.4,547.063318,1572.12696,1,Left,Left,yes,no,A-B
3,1453.011627,839,1190.768735,1453.011627,1,Left,Left,no,no,A-B
3,1924.715546,1229.4,1001.847742,1924.715546,1,Left,Right,no,no,A-B
3,1255.024952,1082.8,1038.037369,1255.024952,1,Right,Left,yes,no,A-B
3,1572.12696,952.4000001,1359.806486,1572.12696,1,Left,Left,yes,no,A-B
3,1129.688426,1916.4,113.312143,1129.688426,1,Left,Left,no,no,A-B
3,1560.242807,1634.2,624.8537482,1560.242807,1,Left,Left,no,no,A-B
3,2002.718236,1627.3,1013.082113,2002.718236,1,Left,Right,no,no,A-B
3,1166.521266,1247,956.1964384,210.3248276,0,Right,Right,yes,no,A-B
3,1453.011627,4411.4,533.9478871,1453.011627,1,Right,Right,no,no,A-B
3,1560.242807,1459.1,1372.328144,1560.242807,1,Right,Right,no,no,A-B
3,-1374.846792,2246,900.2873844,-2275.134176,0,Right,Left,no,no,D-E
